,Date,Unnamed: 0,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
41,2023-02-01,41,plant41,True,1018.0,1197.0,0.8504594820384294,185.5807341337204,44,34,324,"(1373.7033398821218, 621.9607072691553)",16,True,"(1374.0050048828125, 622.1856689453125)",44.5313835144043,30.994009017944336,91.85332489013672,0.7180381662161854,55,55,100.0
42,2023-02-01,42,plant42,True,809.0,1395.0,0.5799283154121864,287.37972366809845,64,36,454,"(1542.5438813349815, 618.168108776267)",14,True,"(1543.05810546875, 619.4456787109375)",67.04835510253906,28.353588104248047,117.1868133544922,0.906184439749336,55,55,100.0
43,2023-02-01,43,plant43,True,1722.0,2613.5,0.6588865506026401,404.59850096702576,80,49,576,"(1709.1701509872241, 627.0238095238095)",18,True,"(1709.88720703125, 626.6975708007812)",74.39289093017578,37.5826530456543,113.79126739501952,0.8630072946409655,55,55,100.0
44,2023-02-01,44,plant44,True,2105.0,2629.0,0.800684670977558,276.1076455116272,74,56,529,"(109.07790973871734, 795.2361045130641)",19,True,"(107.64759826660156, 795.640380859375)",68.82571411132812,47.34697723388672,68.66358184814453,0.725781122487599,55,55,100.0
45,2023-02-01,45,plant45,True,819.0,1166.5,0.7021003000428633,237.8650048971176,38,46,342,"(283.4639804639805, 788.7863247863248)",14,True,"(284.8228759765625, 787.8556518554688)",44.917388916015625,29.06110382080078,33.598819732666016,0.7624984404833066,55,55,100.0
46,2023-02-01,46,plant46,True,883.0,1361.0,0.6487876561351947,267.52185904979706,49,49,403,"(440.2163080407701, 783.5651189127973)",17,True,"(440.62908935546875, 782.542724609375)",54.4802360534668,26.31412506103516,41.09796905517578,0.8756186196728115,55,55,100.0
47,2023-02-01,47,plant47,True,756.0,1200.0,0.63,248.1076455116272,43,43,364,"(598.0224867724868, 782.4814814814815)",19,True,"(598.121337890625, 784.6859130859375)",48.14617538452149,29.219820022583008,30.989444732666016,0.7947796897399695,55,55,100.0
48,2023-02-01,48,plant48,True,1088.0,1274.0,0.8540031397174255,171.92387998104095,42,49,328,"(757.7711397058823, 772.9375)",19,True,"(757.5834350585938, 772.5125122070312)",45.06690979003906,33.67251968383789,27.247901916503903,0.664636050509806,55,55,100.0
49,2023-02-01,49,plant49,True,697.0,1000.0,0.697,245.27921843528748,33,44,310,"(907.8493543758967, 771.583931133429)",20,True,"(907.6807861328125, 770.82177734375)",39.41412353515625,28.938241958618164,12.201043128967283,0.6789224834763606,55,55,100.0
50,2023-02-01,50,plant50,True,599.0,799.0,0.7496871088861077,204.89444243907928,31,36,263,"(1058.4874791318864, 770.2303839732888)",18,True,"(1058.6556396484375, 769.5193481445312)",34.19206237792969,25.05294609069824,149.1610107421875,0.6805384812022716,55,55,100.0
51,2023-02-01,51,plant51,True,728.0,1052.5,0.691686460807601,243.37972366809845,43,37,352,"(1218.0728021978023, 776.2912087912088)",14,True,"(1217.171630859375, 775.1786499023438)",43.927642822265625,27.38950729370117,125.5495376586914,0.7818120572663936,55,55,100.0
52,2023-02-01,52,plant52,True,562.0,892.0,0.6300448430493274,279.76449966430664,35,34,251,"(1371.544483985765, 770.5943060498221)",23,True,"(1369.550537109375, 770.271240234375)",32.051246643066406,29.35726547241211,114.52059936523438,0.4012976709630863,55,55,100.0
53,2023-02-01,53,plant53,True,952.0,1190.5,0.7996640067198656,196.99494767189023,55,36,409,"(1545.2289915966387, 779.515756302521)",14,True,"(1544.86279296875, 780.2183227539062)",53.96990203857422,27.84515190124512,115.3794937133789,0.8566256088039621,55,55,100.0
54,2023-02-01,54,plant54,True,1424.0,1910.0,0.7455497382198953,254.1076455116272,58,50,426,"(1710.9002808988764, 780.9297752808989)",14,True,"(1710.8701171875, 781.2907104492188)",57.29911804199219,36.948055267333984,108.38735961914062,0.7643280120800352,55,55,100.0
55,2023-02-02,0,plant0,True,1826.0,2021.5,0.9032896364086076,229.13708305358887,61,48,384,"(94.36035049288061, 151.49945235487405)",23,True,"(93.63282775878906, 151.42105102539062)",55.44927978515625,45.90896224975586,102.45611572265624,0.5608090844213808,55,55,100.0
56,2023-02-02,1,plant1,True,1633.0,1768.5,0.9233813966638394,173.1959581375122,54,45,357,"(266.8438456827924, 150.5003061849357)",20,True,"(266.9305114746094, 150.62429809570312)",52.42034530639648,41.45120620727539,96.03158569335938,0.6121437115894018,55,55,100.0
57,2023-02-02,2,plant2,True,1890.0,2034.5,0.928975178176456,188.5096664428711,60,50,420,"(425.6910052910053, 154.14920634920634)",18,True,"(425.7835998535156, 154.31802368164062)",58.78970718383789,44.53293228149414,112.09117889404295,0.6528405098388793,55,55,100.0
58,2023-02-02,3,plant3,True,2265.0,2481.0,0.9129383313180168,225.5807341337204,56,66,477,"(585.1456953642385, 152.10242825607065)",23,True,"(584.9688110351562, 152.138427734375)",63.60305404663086,47.08259201049805,149.00631713867188,0.6723242514669951,55,55,100.0
59,2023-02-02,4,plant4,True,2024.0,2259.5,0.8957734011949546,218.99494767189023,53,60,421,"(745.9807312252965, 146.71640316205534)",22,True,"(745.6184692382812, 146.78509521484375)",57.21164321899414,48.49820327758789,2.961855411529541,0.5304789075054892,55,55,100.0
60,2023-02-02,5,plant5,True,2653.0,2883.5,0.9200624241373332,227.9655101299286,61,72,500,"(902.2894836034677, 146.89860535243122)",23,True,"(902.0200805664062, 147.25802612304688)",67.4277572631836,55.59360504150391,7.497110843658447,0.5658745041035451,55,55,100.0
61,2023-02-02,6,plant6,True,2050.0,2142.0,0.9570494864612512,187.82337474823,47,66,433,"(1061.0, 148.89317073170733)",23,True,"(1060.8870849609375, 149.19915771484375)",62.39795303344727,42.52442932128906,13.354785919189451,0.7318147646909031,55,55,100.0
62,2023-02-02,7,plant7,True,2604.0,2791.5,0.9328318108543794,227.48022890090945,63,65,480,"(1217.63133640553, 146.7058371735791)",22,True,"(1217.9451904296875, 146.40969848632812)",68.72320556640625,54.886138916015625,40.579246520996094,0.6017890196932677,55,55,100.0
63,2023-02-02,8,plant8,True,2652.0,2907.5,0.9121238177128116,242.7939372062683,69,64,515,"(1376.6244343891403, 141.18099547511312)",18,True,"(1376.6337890625, 140.80996704101562)",67.81075286865234,54.2567253112793,55.39508819580078,0.5998402474378547,55,55,100.0
64,2023-02-02,9,plant9,True,2650.0,3334.0,0.7948410317936413,280.5929267406464,80,63,558,"(1547.5018867924528, 134.54679245283018)",18,True,"(1549.3804931640625, 132.9497528076172)",91.88487243652344,43.773834228515625,67.2679214477539,0.8792293636879487,55,55,100.0
65,2023-02-02,10,plant10,True,2450.0,3188.0,0.7685069008782937,305.52185904979706,80,55,544,"(1707.2142857142858, 135.594693877551)",15,True,"(1707.725830078125, 135.3354034423828)",75.45098114013672,47.815555572509766,84.40950012207031,0.7735542632287521,55,55,100.0
66,2023-02-02,11,plant11,True,2938.0,3306.0,0.8886872353297036,261.9655101299286,86,58,597,"(92.27297481279783, 305.07317903335604)",22,True,"(92.24432373046875, 304.92974853515625)",81.92790222167969,48.146446228027344,104.8427734375,0.8091018174604822,55,55,100.0
67,2023-02-02,12,plant12,True,2407.0,2672.0,0.9008233532934132,236.7939372062683,73,59,492,"(266.1973410884919, 307.9954299958454)",22,True,"(266.05242919921875, 308.1605529785156)",69.8325424194336,46.914306640625,115.52049255371094,0.7407221329749477,55,55,100.0
68,2023-02-02,13,plant13,True,3203.0,3758.0,0.8523150612027675,278.1076455116272,80,66,560,"(423.60880424601936, 308.6728067436778)",24,True,"(424.61102294921875, 308.5816955566406)",84.2480697631836,57.88246154785156,115.12075805664062,0.726612103005803,55,55,100.0
